대분류,품명,규격,단위,수량,자재비.단가,노무비.단가,경비.단가,연도,현장,협력사,계약번호,계약여부
덕트, 각형덕트제작및설치 ,0.5T, M2 ,118 ,14650 ,14360 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트, 각형덕트제작및설치 ,0.6T, M2 ,530 ,15309 ,15036 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트, 각형덕트제작및설치 ,0.8T, M2 ,2071 ,16747 ,16312 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트, 각형덕트제작및설치 ,1.0T, M2 ,2391 ,17535 ,17167 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트, 각형덕트제작및설치 ,1.2T, M2 ,173 ,18960 ,18230 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트_보온, 아티론덕트보온 ,25T 아티론, M2 ,4843 ,10600 ,7500 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트_칼라함석, 아티론덕트보온 ,0.5T칼라함석+50T 아티론, M2 ,441 ,30744 ,38500 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
후렉시블호스, 공조덕트(플렉시블) ,보온A300, M ,603 ,7080 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
FD/FVD 휴즈, FD/FVD 휴즈 ,equal, EA ,24 ,990 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
점검구, 점검구 ,300*200, EA ,24 ,15000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
STS_BAND, 스텐밴드 ,300A, EA ,804 ,1530 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
SPIN_IN, SPIN IN ,300A, EA ,402 ,2805 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
내화충전재," 내화충전재(덕트,벽체) ",equal, M ,130 ,40600 ,40000 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
캔버스, 캔버스 ,1.2T, M2 ,45 ,1500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
F.V.D, F.V.D (STL) ,1100*700, EA ,4 ,77000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
F.V.D, F.V.D (STL) ,1700*1200, EA ,8 ,127500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
F.V.D, F.V.D (STL) ,1700*750, EA ,4 ,127500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
F.V.D, F.V.D (STL) ,2000*1100, EA ,8 ,220000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
REGISTER, REGISTER (AL) ,1600*1600, EA ,4 ,448000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
REGISTER, REGISTER (AL) ,1600*2000, EA ,18 ,560000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
REGISTER, REGISTER (AL) ,1800*1500, EA ,6 ,472500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
REGISTER, REGISTER (AL) ,600*1000, EA ,3 ,105000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
REGISTER, REGISTER (AL) ,600*1100, EA ,1 ,115500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
